,Unnamed: 0,Unnamed: 0.1,Company Name,Location,Datum,Detail,Status Rocket, Rocket,Status Mission
0,202,202,Landspace,"Site 95, Jiuquan Satellite Launch Center, China","Sat Oct 27, 2018 08:00 UTC",ZhuQue-1 | CCTV Future-1,StatusRetired,0,Failure
1,208,208,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Thu Oct 11, 2018 08:40 UTC",Soyuz FG | Soyuz MS-10 (56S),StatusRetired,0,Failure
2,392,392,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Thu Dec 01, 2016 14:52 UTC",Soyuz U | Progress MS-04,StatusRetired,0,Failure
3,413,413,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Thu Sep 01, 2016 13:07 UTC",Falcon 9 Block 3 | AMOS-6,StatusRetired,62,Prelaunch Failure
4,499,499,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Sun Jun 28, 2015 14:21 UTC",Falcon 9 v1.1 | CRS-7,StatusRetired,56.5,Failure
5,534,534,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Tue Oct 28, 2014 22:22 UTC",Antares 130 | CRS Orb-3,StatusRetired,80,Failure
6,621,621,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Tue Jan 15, 2013 16:24 UTC",Rokot/Briz KM | Cosmos 2482 to 2484,StatusRetired,41.8,Partial Failure
7,629,629,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon Oct 08, 2012 00:35 UTC",Falcon 9 v1.0 | CRS-1,StatusRetired,59.5,Partial Failure
8,698,698,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Tue Feb 01, 2011 14:00 UTC",Rokot/Briz KM | Cosmos 2470,StatusRetired,41.8,Partial Failure
9,703,703,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Sat Dec 25, 2010 10:34 UTC",GSLV Mk I | GSAT-5P,StatusRetired,47,Failure
10,721,721,KARI,"LC-1, Naro Space Center, South Korea","Thu Jun 10, 2010 08:01 UTC",Naro-1 | STSAT-2B,StatusRetired,0,Failure
11,757,757,KARI,"LC-1, Naro Space Center, South Korea","Tue Aug 25, 2009 08:00 UTC",Naro-1 | STSAT-2A,StatusRetired,0,Failure
12,775,775,KCST,"Pad 1, Tonghae Satellite Launching Ground, North Korea","Sun Apr 05, 2009 02:20 UTC",Unha-2 | Kwangmyngsng-2,StatusRetired,0,Failure
13,806,806,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Sun Aug 17, 2008",Safir-1 | Unknown Payload,StatusRetired,0,Failure
14,808,808,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA","Sun Aug 03, 2008 03:34 UTC",Falcon 1 | Flight 3,StatusRetired,7,Failure
15,856,856,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Sun Sep 02, 2007 12:51 UTC",GSLV Mk I | INSAT-4CR,StatusRetired,47,Partial Failure
16,879,879,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA","Wed Mar 21, 2007 01:10 UTC",Falcon 1 | DemoSat,StatusRetired,7,Failure
17,910,910,Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan","Wed Jul 26, 2006 19:43 UTC",Dnepr | BelKa 1 & Others,StatusRetired,29,Failure
18,913,913,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Mon Jul 10, 2006 12:08 UTC",GSLV Mk I | INSAT-4C,StatusRetired,47,Failure
19,929,929,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA","Fri Mar 24, 2006 21:30 UTC",Falcon 1 | FalconSat-2,StatusRetired,7,Failure
20,944,944,Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia","Sat Oct 08, 2005 15:02 UTC",Rokot/Briz KM | CryoSat-1,StatusRetired,41.8,Failure
21,957,957,SRC,"K-496 Submarine, Barents Sea Launch Area, Barents Sea","Tue Jun 21, 2005 19:46 UTC",Volna | Cosmos 1,StatusRetired,0,Failure
22,958,958,VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia","Tue Jun 21, 2005 00:48 UTC",Molniya-M /Block ML | Molniya-3K n†­175,StatusRetired,0,Failure
23,973,973,VKS RF,"Site 32/2, Plesetsk Cosmodrome, Russia","Fri Dec 24, 2004 12:00 UTC",Tsyklon-3 | Sich 1M & Micron 1,StatusRetired,0,Partial Failure
24,987,987,IAI,"Pad 1, Palmachim Airbase, Israel","Mon Sep 06, 2004",Shavit-1 | Ofek-6,StatusRetired,0,Failure
25,1018,1018,MHI,"LA-Y1, Tanegashima Space Center, Japan","Sat Nov 29, 2003 04:33 UTC","H-IIA 2024 | IGS-Optical (2), IGS-Radar (2)",StatusRetired,0,Failure
26,1029,1029,CASIC,"Taiyuan Satellite Launch Center, China","Tue Sep 16, 2003",Kaituozhe 1 | PS 2,StatusRetired,0,Failure
27,1062,1062,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Thu Jan 16, 2003 15:39 UTC",Space Shuttle Columbia | STS-107,StatusRetired,450,Failure
28,1079,1079,CASIC,"Taiyuan Satellite Launch Center, China","Sun Sep 15, 2002",Kaituozhe 1 | PS 1,StatusRetired,0,Failure
29,1136,1136,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Jul 12, 2001 21:58 UTC",Ariane 5 G | Artemis & BSAT-2b,StatusRetired,0,Partial Failure
