,Unnamed: 0,Unnamed: 0.1,Company Name,Location,Datum,Detail,Status Rocket, Rocket,Status Mission
30,1145,1145,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Wed Apr 18, 2001 10:13 UTC",GSLV Mk I | GSAT-1,StatusRetired,47,Partial Failure
31,1157,1157,VKS RF,"Site 32/1, Plesetsk Cosmodrome, Russia","Wed Dec 27, 2000 18:56 UTC",Tsyklon-3 | Cosmos 2377 to 2379 & Gonets 7 to 9,StatusRetired,0,Failure
32,1165,1165,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Mon Nov 20, 2000 23:00 UTC",Cosmos-3M (11K65M) | QuickBird-1,StatusRetired,0,Failure
33,1207,1207,ISAS,"Mu Pad, Uchinoura Space Center, Japan","Thu Feb 10, 2000 01:30 UTC",Mu-V / M-24 | Astro E,StatusRetired,0,Failure
34,1227,1227,MHI,"LA-Y1, Tanegashima Space Center, Japan","Mon Nov 15, 1999 07:29 UTC",H-IIS | Himawari 6,StatusRetired,0,Failure
35,1254,1254,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Wed May 05, 1999 01:00 UTC",Delta III 8930 | Orion 3,StatusRetired,0,Failure
36,1255,1255,Lockheed,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Apr 30, 1999 16:30 UTC",Titan IV(401)B | Milstar DFS-3m,StatusRetired,0,Failure
37,1257,1257,Lockheed,"SLC-6, Vandenberg AFB, California, USA","Tue Apr 27, 1999 18:22 UTC",Athena II | Ikonos,StatusRetired,0,Failure
38,1261,1261,Lockheed,"SLC-41, Cape Canaveral AFS, Florida, USA","Fri Apr 09, 1999 17:01 UTC",Titan IV(402)B | DSP,StatusRetired,0,Failure
39,1292,1292,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Wed Sep 09, 1998 20:29 UTC",Zenit-2 | Globalstar Satellites,StatusRetired,0,Failure
40,1294,1294,KCST,"Pad 1, Tonghae Satellite Launching Ground, North Korea","Mon Aug 31, 1998 03:07 UTC",Taepodong-1 | Kwangmyngsng 1,StatusRetired,0,Failure
41,1295,1295,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Thu Aug 27, 1998 01:17 UTC",Delta III 8930 | Galaxy 10,StatusRetired,0,Failure
42,1300,1300,Lockheed,"SLC-41, Cape Canaveral AFS, Florida, USA","Wed Aug 12, 1998 11:30 UTC",Titan IV(401)A | NROL-7 (Mercury),StatusRetired,0,Failure
43,1309,1309,VKS RF,"Site 32/1, Plesetsk Cosmodrome, Russia","Mon Jun 15, 1998 22:58 UTC",Tsyklon-3 | Cosmos 2352 to 2357,StatusRetired,0,Partial Failure
44,1329,1329,MHI,"LA-Y1, Tanegashima Space Center, Japan","Sat Feb 21, 1998 07:55 UTC",H-II | Kakehashi,StatusRetired,0,Partial Failure
45,1335,1335,IAI,"Pad 1, Palmachim Airbase, Israel","Thu Jan 22, 1998",Shavit | Ofek-4,StatusRetired,0,Failure
46,1339,1339,ILS,"Site 81/23, Baikonur Cosmodrome, Kazakhstan","Wed Dec 24, 1997 23:19 UTC",Proton K/Block DM-3 | PAS-22,StatusRetired,0,Partial Failure
47,1355,1355,ESA,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Oct 30, 1997 13:43 UTC","Ariane 5 G | MaqSat-H, TEAMSAT, MaqSat-B, YES",StatusRetired,0,Partial Failure
48,1362,1362,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Mon Sep 29, 1997 10:20 UTC",PSLV-G | IRS-1D,StatusRetired,25,Partial Failure
49,1387,1387,VKS RF,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Tue May 20, 1997 07:07 UTC",Zenit-2 | Tselina-2 n†­19,StatusRetired,0,Failure
50,1407,1407,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA","Fri Jan 17, 1997 16:28 UTC",Delta II 7925 | GPS IIR-1,StatusRetired,0,Failure
51,1429,1429,CASC,"LC-3, Xichang Satellite Launch Center, China","Sun Aug 18, 1996 10:27 UTC",Long March 3 | Chinasat-7,StatusRetired,0,Partial Failure
52,1441,1441,ESA,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Jun 04, 1996 12:34 UTC",Ariane 5 G | Cluster,StatusRetired,0,Failure
53,1483,1483,EER,"LP-0A, Wallops Flight Facility, Virginia, USA","Mon Oct 23, 1995 22:03 UTC",Conestoga-1620 | METEOR,StatusRetired,20,Failure
54,1487,1487,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Fri Oct 06, 1995 03:23 UTC",Cosmos-3M (11K65M) | Cosmos 2321,StatusRetired,0,Partial Failure
55,1490,1490,Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA","Tue Sep 05, 1995 11:10 UTC",Delta II 7925 | Koreasat 1,StatusRetired,0,Partial Failure
56,1494,1494,Lockheed,"SLC-6, Vandenberg AFB, California, USA","Tue Aug 15, 1995 22:30 UTC",Athena I | GemStar 1,StatusRetired,0,Failure
57,1517,1517,MITT,"Site 158, Plesetsk Cosmodrome, Russia","Tue Mar 28, 1995 10:00 UTC","Start | EKA-2, Gurwin & UNAMSAT A",StatusRetired,0,Failure
58,1526,1526,CASC,"LC-2, Xichang Satellite Launch Center, China","Wed Jan 25, 1995 22:40 UTC",Long March 2E | Apstar 2,StatusRetired,0,Failure
59,1528,1528,ISAS,"Mu Pad, Uchinoura Space Center, Japan","Sun Jan 15, 1995 13:45 UTC",Mu-III S2 | EXPRESS,StatusRetired,0,Partial Failure
60,1536,1536,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Thu Dec 01, 1994 22:57 UTC",Ariane 42P | Panamsat-3,StatusRetired,0,Failure
61,1573,1573,VKS RF,"Site 32/2, Plesetsk Cosmodrome, Russia","Wed May 25, 1994 10:14 UTC",Tsyklon-3 | Cosmos 2281,StatusRetired,0,Failure
62,1574,1574,Northrop,"NB-52B Carrier, Edwards AFB, California, USA","Thu May 19, 1994 17:03 UTC",Pegasus/HAPS | STEP-2,StatusRetired,40,Partial Failure
63,1593,1593,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Mon Jan 24, 1994 21:37 UTC","Ariane 44LP | Eutelsat 2F5, Turksat 1A",StatusRetired,0,Failure
64,1607,1607,Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA","Tue Oct 05, 1993 17:56 UTC",Titan II(23)G | Landsat 6,StatusRetired,35,Failure
65,1609,1609,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Mon Sep 20, 1993 05:12 UTC",PSLV-G | IRS-P1,StatusRetired,25,Failure
66,1619,1619,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA","Mon Aug 02, 1993 19:59 UTC",Titan IV(403)A | SLDCOM & 3x NOSS,StatusRetired,0,Failure
67,1644,1644,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA","Thu Mar 25, 1993 21:38 UTC",Atlas I | UHF F1,StatusRetired,0,Failure
68,1658,1658,CASC,"LC-2, Xichang Satellite Launch Center, China","Mon Dec 21, 1992 11:21 UTC",Long March 2E | Optus-B2,StatusRetired,0,Failure
69,1680,1680,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA","Sat Aug 22, 1992 22:40 UTC",Atlas I | Galaxy 1R,StatusRetired,0,Failure
70,1714,1714,RVSN USSR,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Wed Feb 05, 1992 18:14 UTC",Zenit-2 | Tselina-2 n†­10,StatusRetired,0,Failure
71,1717,1717,CASC,"LC-3, Xichang Satellite Launch Center, China","Sat Dec 28, 1991 12:00 UTC",Long March 3 | DFH-2A-T5,StatusRetired,0,Partial Failure
72,1733,1733,RVSN USSR,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Fri Aug 30, 1991 08:58 UTC",Zenit-2 | Tselina-2 n†­9,StatusRetired,0,Failure
73,1743,1743,Northrop,"NB-52B Carrier, Edwards AFB, California, USA","Sun Jul 21, 1991 17:33 UTC",Pegasus/HAPS | 7 Microsats,StatusRetired,40,Partial Failure
74,1746,1746,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Jun 25, 1991 13:20 UTC",Cosmos-3M (11K65M) | Ta??foun n†­59,StatusRetired,0,Failure
75,1757,1757,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA","Thu Apr 18, 1991 23:30 UTC",Atlas I | Yuri 3H,StatusRetired,0,Failure
76,1795,1795,RVSN USSR,"Site 45/2, Baikonur Cosmodrome, Kazakhstan","Thu Oct 04, 1990 04:27 UTC",Zenit-2 | Tselina-2 n†­8,StatusRetired,0,Failure
77,1816,1816,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu Jun 21, 1990 20:45 UTC",Molniya-M /Block 2BL | Cosmos 2084,StatusRetired,0,Partial Failure
78,1837,1837,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA","Wed Mar 14, 1990 11:52 UTC",Commercial Titan III | Intelsat 603,StatusRetired,136.6,Failure
79,1841,1841,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France","Thu Feb 22, 1990 23:17 UTC","Ariane 44L | Superbird-B, BS-2X",StatusRetired,0,Failure
80,1885,1885,RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia","Fri Jun 09, 1989 10:10 UTC",Tsyklon-3 | Okean 2a,StatusRetired,0,Failure
81,1889,1889,ISRO,"SLV LP, Satish Dhawan Space Centre, India","Mon May 22, 1989 01:40 UTC",ASLV | SROSS C,StatusRetired,0,Partial Failure
82,1930,1930,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Sep 02, 1988 12:05 UTC",Titan 34D | USA-31 (Vortex),StatusRetired,0,Partial Failure
83,1933,1933,ISRO,"SLV LP, Satish Dhawan Space Centre, India","Sun Jul 31, 1988 09:18 UTC",ASLV | SROSS-B,StatusRetired,0,Failure
84,2005,2005,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA","Thu Mar 26, 1987 21:22 UTC",Atlas-G Centaur-D1AR | FLTSATCOM-6,StatusRetired,0,Failure
85,2006,2006,ISRO,"SLV LP, Satish Dhawan Space Centre, India","Tue Mar 24, 1987 06:39 UTC",ASLV | SROSS-A,StatusRetired,0,Failure
86,2017,2017,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Thu Jan 29, 1987 06:14 UTC",Cosmos-3M (11K65M) | Cosmos 1816,StatusRetired,0,Partial Failure
87,2040,2040,RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia","Wed Oct 15, 1986 05:24 UTC",Tsyklon-3 | Cosmos 1786 to 1791,StatusRetired,0,Failure
88,2042,2042,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","Fri Oct 03, 1986 13:05 UTC",Molniya-M /Block 2BL | Cosmos 1783,StatusRetired,0,Partial Failure
89,2055,2055,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","Wed Jul 16, 1986 04:21 UTC",Cosmos-3M (11K65M) | Cosmos 1763,StatusRetired,0,Partial Failure
90,2061,2061,Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France","Sat May 31, 1986 00:53 UTC",Ariane 2 | Intelsat-5A 14,StatusRetired,0,Failure
91,2066,2066,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA","Fri Apr 18, 1986 18:45 UTC",Titan 34D | KH-9,StatusRetired,0,Failure
92,2079,2079,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Tue Jan 28, 1986 16:38 UTC",Space Shuttle Challenger | STS-51-L,StatusRetired,450,Failure
93,2085,2085,RVSN USSR,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Sat Dec 28, 1985 09:16 UTC",Zenit-2 | Cosmos 1714,StatusRetired,0,Partial Failure
94,2097,2097,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","Wed Oct 23, 1985 17:24 UTC",Cosmos-3M (11K65M) | Parouss n†­50,StatusRetired,0,Failure
95,2112,2112,Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France","Thu Sep 12, 1985 23:26 UTC","Ariane 3 | ECS 3, Spacenet 3",StatusRetired,0,Failure
96,2114,2114,Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA","Wed Aug 28, 1985 21:20 UTC",Titan 34D | KH-11,StatusRetired,0,Failure
97,2126,2126,RVSN USSR,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Fri Jun 21, 1985 08:29 UTC",Zenit-2 | EPN 03.0694 n†­2,StatusRetired,0,Failure
98,2140,2140,RVSN USSR,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Sat Apr 13, 1985 08:00 UTC",Zenit-2 | EPN 03.0694 n†­1,StatusRetired,0,Failure
99,2165,2165,RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia","Tue Nov 27, 1984 14:22 UTC",Tsyklon-3 | Meteor-3 n†­1a,StatusRetired,0,Partial Failure
100,2197,2197,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA","Sat Jun 09, 1984 23:03 UTC",Atlas-G Centaur-D1AR | Intelsat V -509,StatusRetired,0,Failure
101,2223,2223,CASC,"LC-3, Xichang Satellite Launch Center, China","Sun Jan 29, 1984 12:25 UTC",Long March 3 | STTW 1 (Dong Fang Hong 2),StatusRetired,0,Partial Failure
102,2290,2290,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Tue Jan 25, 1983 12:00 UTC",Cosmos-3M (11K65M) | Ta??foun n†­32,StatusRetired,0,Failure
103,2297,2297,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Wed Dec 08, 1982 13:46 UTC",Molniya-M /Block ML | Cosmos 1423,StatusRetired,0,Partial Failure
104,2298,2298,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Wed Nov 24, 1982 11:00 UTC",Cosmos-3M (11K65M) | Strela-1M satellites,StatusRetired,0,Failure
105,2310,2310,ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France","Thu Sep 09, 1982 02:12 UTC",Ariane 1 | MARCES-B & Sirio-2,StatusRetired,0,Failure
106,2325,2325,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","Fri Jun 18, 1982 11:58 UTC",Cosmos-3M (11K65M) | Cosmos 1380,StatusRetired,0,Partial Failure
107,2351,2351,RVSN USSR,"Site 107/1, Kapustin Yar, Russia","Thu Mar 04, 1982 16:41 UTC",Cosmos-3M (11K65M) | Ta??foun n†­27,StatusRetired,0,Failure
108,2363,2363,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA","Sat Dec 19, 1981 01:10 UTC",Atlas-E/F SGS-1 | GPS-7,StatusRetired,0,Failure
109,2366,2366,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Fri Dec 04, 1981 11:06 UTC",Cosmos-3M (11K65M) | Cosmos 1304,StatusRetired,0,Partial Failure
110,2383,2383,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Fri Sep 11, 1981 08:43 UTC",Molniya-M /Block ML | Cosmos 1305,StatusRetired,0,Partial Failure
111,2392,2392,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu Aug 06, 1981 08:16 UTC",Atlas-SLV3D Centaur-D1AR | FLTSATCOM-5,StatusRetired,0,Partial Failure
112,2402,2402,ISRO,"SLV LP, Satish Dhawan Space Centre, India","Sun May 31, 1981 05:00 UTC",SLV-3 | Rohini RS-D1,StatusRetired,0,Partial Failure
113,2428,2428,RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia","Fri Jan 23, 1981 11:20 UTC",Tsyklon-3 | Cosmos 1242,StatusRetired,0,Failure
114,2433,2433,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Dec 23, 1980 22:48 UTC",Cosmos-3M (11K65M) | Cosmos 1228 to 1235,StatusRetired,0,Partial Failure
115,2436,2436,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA","Tue Dec 09, 1980 07:18 UTC",Atlas-E/F MSD | NOSS-4,StatusRetired,0,Failure
116,2461,2461,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA","Thu May 29, 1980 10:53 UTC",Atlas-E/F Star-37S-ISS | NOAA-B,StatusRetired,0,Failure
117,2462,2462,ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France","Fri May 23, 1980 14:29 UTC",Ariane 1 | CAT-2 & Others,StatusRetired,0,Failure
118,2467,2467,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","Fri Apr 18, 1980 17:31 UTC",Molniya-M /Block ML | Cosmos 1175,StatusRetired,0,Partial Failure
119,2477,2477,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Feb 12, 1980 00:52 UTC",Molniya-M /Block 2BL | Cosmos 1164,StatusRetired,0,Partial Failure
120,2502,2502,ISRO,"SLV LP, Satish Dhawan Space Centre, India","Fri Aug 10, 1979 02:28 UTC",SLV-3 | Rohini Technology Payload,StatusRetired,0,Failure
121,2504,2504,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China","Fri Jul 27, 1979 21:28 UTC",Feng Bao 1 | Shijian 2A,StatusRetired,0,Failure
122,2532,2532,MHI,"LA-Y1, Tanegashima Space Center, Japan","Tue Feb 06, 1979 08:46 UTC",N-I Star-37E | Ayame 1,StatusRetired,0,Partial Failure
123,2537,2537,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Tue Dec 26, 1978 15:30 UTC",Soyuz U | Cosmos 1068,StatusRetired,0,Partial Failure
124,2541,2541,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Wed Dec 20, 1978 20:43 UTC",Cosmos-3M (11K65M) | Cosmos 1064,StatusRetired,0,Partial Failure
125,2607,2607,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA","Sat Mar 25, 1978 18:09 UTC",Titan III(23)C | DSCS-II 9&10,StatusRetired,0,Failure
126,2647,2647,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Nov 29, 1977 07:05 UTC",Cosmos-3M (11K65M) | Tsikada n†­3,StatusRetired,0,Failure
127,2657,2657,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA","Fri Sep 30, 1977 01:02 UTC",Atlas-SLV3D Centaur-D1AR | Intelsat 4A F5,StatusRetired,0,Failure
128,2679,2679,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Wed Aug 10, 1977 10:40 UTC",Soyuz U | Zenit-4MKM n†­399,StatusRetired,0,Failure
129,2734,2734,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Tue Feb 22, 1977 09:19 UTC",Soyuz U | Zenit-4MK n†­381,StatusRetired,0,Failure
130,2765,2765,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China","Wed Nov 10, 1976 09:05 UTC",Feng Bao 1 | JSSW-6,StatusRetired,0,Failure
131,2775,2775,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Mon Oct 04, 1976 11:00 UTC",Soyuz U | Zenit-4MKT n†­370,StatusRetired,0,Failure
132,2783,2783,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Wed Sep 01, 1976 03:23 UTC",Molniya-M /Block ML | Cosmos 853,StatusRetired,0,Partial Failure
133,2806,2806,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Jul 01, 1976 08:05 UTC",Molniya-M /Block ML | Cosmos 837,StatusRetired,0,Partial Failure
134,2849,2849,ISAS,"Mu Pad, Uchinoura Space Center, Japan","Wed Feb 04, 1976 05:00 UTC",Mu-III C | Corsa A,StatusRetired,0,Failure
135,2863,2863,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","Fri Dec 19, 1975 14:00 UTC",Cosmos-3M (11K65M) | DS-P1 satellite,StatusRetired,0,Failure
136,2926,2926,RVSN USSR,"Site 107/1, Kapustin Yar, Russia","Tue Jun 03, 1975 09:00 UTC",Cosmos-3M (11K65M) | DS-U3 satellite,StatusRetired,0,Failure
137,2934,2934,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA","Tue May 20, 1975 14:03 UTC",Titan III(23)C | DSCS-II 5&6,StatusRetired,0,Failure
138,2945,2945,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA","Sun Apr 13, 1975 00:51 UTC",Atlas-E/F Star-17A | P72-2,StatusRetired,0,Failure
139,2949,2949,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Sat Apr 05, 1975 11:04 UTC",Soyuz | Soyuz 18a (7K-T n†­39),StatusRetired,0,Failure
140,2961,2961,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA","Thu Feb 20, 1975 23:35 UTC",Atlas-SLV3D Centaur-D1A | Intelsat 4 F6,StatusRetired,0,Failure
141,2979,2979,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Fri Dec 13, 1974 13:30 UTC",Soyuz U | Cosmos 697,StatusRetired,0,Partial Failure
142,2987,2987,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China","Tue Nov 05, 1974 09:40 UTC",Long March 2 | FSW-0 No.0,StatusRetired,0,Failure
143,3004,3004,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","Fri Aug 30, 1974 09:00 UTC",Voskhod | Zenit-2M n†­51,StatusRetired,0,Failure
144,3018,3018,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China","Fri Jul 12, 1974 13:55 UTC",Feng Bao 1 | JSSW-2,StatusRetired,0,Failure
145,3020,3020,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","Thu Jul 11, 1974 11:00 UTC",Cosmos-2I (63SM) | DS-P1-You n†­68,StatusRetired,0,Failure
146,3037,3037,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu May 23, 1974 12:16 UTC",Soyuz U | Yantar-2K n†­01,StatusRetired,0,Failure
